student_id,gender,district,employment_status,education_level,monthly_income_rwf,internet_access,smartphone_owner,date_of_birth
STU025294,Female,Rwamagana,Student,Primary,160000,Yes,Yes,1999-01-07
STU037893,Male,Ngoma,Student,Primary,170000,Yes,Yes,2003-08-24
STU042890,Male,Ngoma,Self-employed,,910000,Yes,No,1993-04-03
STU030960,Female,Ngororero,Self-employed,University,970000,Yes,Yes,2004-01-05
STU045234,Female,Nyamasheke,Employed,Secondary,880000,Yes,Yes,2001-06-12
STU036998,Female,Karongi,Employed,Secondary,350000,Yes,No,1998-05-12
STU029818,Male,Burera,Employed,Primary,100000,Yes,Yes,2005-12-13
STU008954,Female,Ngoma,Employed,University,280000,Yes,Yes,2002-08-24
STU036084,Female,Rwamagana,Student,Secondary,390000,Yes,Yes,2000-05-24
STU009831,Female,Gasabo,Student,Primary,970000,Yes,Yes,1991-01-06
STU037566,Male,Muhanga,Student,University,330000,Yes,Yes,1990-11-27
STU030293,Male,Nyamasheke,Self-employed,None,860000,Yes,Yes,1990-08-24
STU045390,Female,Gicumbi,Self-employed,Primary,10000,No,Yes,2004-10-29
STU005970,Male,Muhanga,Unemployed,Primary,280000,No,No,2003-10-02
STU007422,Male,Musanze,Student,Secondary,710000,Yes,Yes,2004-05-29
STU002022,Male,Huye,Unemployed,Secondary,70000,Yes,Yes,1997-10-29
STU041085,Female,Ngororero,Self-employed,Secondary,250000,Yes,No,1998-08-16
STU010931,Male,Gasabo,Self-employed,Primary,820000,Yes,Yes,2001-10-13
STU025006,Male,Rubavu,Employed,Primary,850000,No,Yes,1991-04-22
STU043150,Female,Karongi,Self-employed,Primary,580000,No,No,1997-03-17
STU036160,Male,Kicukiro,Self-employed,Primary,320000,Yes,No,2000-06-03
STU006825,Male,Bugesera,Student,University,420000,Yes,Yes,1990-11-01
STU014582,Female,Bugesera,Unemployed,Primary,600000,Yes,No,1998-07-24
STU035698,Female,Gicumbi,Unemployed,Secondary,650000,Yes,Yes,2003-06-07
STU034101,Female,Musanze,Self-employed,Secondary,730000,Yes,Yes,2006-06-19
STU048566,Female,Nyaruguru,Student,Secondary,550000,Yes,Yes,1999-10-06
STU009840,Female,Gasabo,Self-employed,Primary,280000,Yes,Yes,1993-05-31
STU002229,Female,Rutsiro,Employed,Secondary,360000,No,Yes,1994-03-24
STU040895,Male,Karongi,Employed,University,500000,Yes,Yes,1991-03-15
STU040504,Male,Nyanza,Self-employed,Secondary,750000,Yes,Yes,1994-01-26
STU014641,Female,Kamonyi,Unemployed,University,610000,Yes,Yes,1995-09-09
STU016216,Female,Nyamasheke,Self-employed,Primary,670000,Yes,Yes,2002-06-21
STU024777,Female,Nyaruguru,Student,None,290000,Yes,Yes,2004-04-18
STU025989,Male,Rutsiro,Student,Primary,610000,Yes,Yes,2006-03-15
STU008774,Male,Nyarugenge,Unemployed,Primary,820000,Yes,Yes,2006-10-27
STU016611,Male,Muhanga,Employed,University,550000,Yes,No,1999-01-29
STU025246,Female,Rwamagana,Employed,Secondary,240000,Yes,Yes,2003-03-04
STU023231,Female,Gasabo,Student,Secondary,650000,Yes,No,1992-04-02
STU040141,Female,Ngororero,Employed,Primary,900000,Yes,No,1990-11-24
STU029870,Female,Karongi,Self-employed,Primary,200000,No,Yes,2003-09-10
STU004284,Female,Nyabihu,Self-employed,Secondary,400000,Yes,Yes,1993-04-04
STU038088,Male,Ngororero,Unemployed,Secondary,980000,No,Yes,2004-02-08
STU012424,Male,Nyamasheke,Unemployed,Secondary,280000,Yes,Yes,1995-08-17
STU000783,Male,Nyanza,Unemployed,Secondary,40000,Yes,Yes,1993-02-08
STU013467,Female,Rusizi,Student,Secondary,110000,Yes,Yes,2002-05-11
STU038516,Female,Rubavu,Student,Primary,350000,Yes,Yes,1996-09-22
STU033479,Male,Huye,Student,Primary,170000,No,Yes,2002-06-29
STU048810,Male,Ngororero,Student,Primary,800000,Yes,Yes,2006-05-14
STU013518,Female,Gakenke,Unemployed,Primary,110000,Yes,Yes,1997-07-10
STU044844,Male,Kamonyi,Unemployed,Primary,550000,Yes,Yes,2004-12-17
STU013272,Female,Rusizi,Unemployed,University,830000,No,No,1998-07-22
STU026695,Male,Burera,Student,Secondary,970000,No,Yes,1997-09-09
STU011740,Male,Bugesera,Self-employed,Primary,90000,No,Yes,1994-08-09
STU048517,Female,Rusizi,Employed,Primary,420000,Yes,Yes,2001-01-01
STU032198,Male,Kayonza,Unemployed,Primary,750000,Yes,Yes,2004-08-21
STU020577,Male,Nyanza,Unemployed,Primary,160000,Yes,Yes,2000-08-21
STU023616,Female,Kamonyi,Unemployed,Secondary,880000,Yes,Yes,2001-05-01
STU002773,Male,Nyanza,Student,Primary,10000,No,Yes,2007-04-30
STU011374,Male,Gisagara,Self-employed,University,80000,Yes,No,1992-08-06
STU019766,Male,Kayonza,Unemployed,Secondary,710000,Yes,Yes,1992-07-12
STU007130,Female,Karongi,Employed,Secondary,200000,Yes,Yes,2004-04-01
STU047232,Male,Burera,Unemployed,Secondary,500000,No,Yes,1990-09-13
STU043838,Female,Nyarugenge,Employed,Primary,160000,Yes,Yes,2001-01-28
STU019605,Male,Rusizi,Self-employed,Primary,570000,No,Yes,1998-11-28
STU013666,Male,Rutsiro,Unemployed,Secondary,350000,No,No,1993-02-18
STU033253,Male,Kicukiro,Student,,500000,Yes,Yes,1993-06-12
STU039212,Female,Muhanga,Student,Primary,150000,No,Yes,1996-02-26
STU023998,Female,Kamonyi,Student,Secondary,670000,Yes,Yes,1994-05-29
STU031141,Female,Nyaruguru,Student,University,440000,No,Yes,1991-05-10
STU008993,Female,Gicumbi,Self-employed,Primary,520000,Yes,Yes,1992-09-28
STU024906,Male,Nyamasheke,Student,Secondary,460000,No,No,2001-04-12
STU017399,Female,Muhanga,Student,Secondary,990000,Yes,Yes,2004-09-19
STU044334,Female,Ngoma,Unemployed,Secondary,500000,Yes,No,1992-11-08
STU025254,Male,Bugesera,Student,Primary,370000,Yes,Yes,1999-08-29
STU028133,Female,Nyabihu,Self-employed,Secondary,900000,Yes,Yes,1995-05-15
STU048202,Male,Rubavu,Self-employed,None,580000,No,Yes,1994-02-18
STU032865,Male,Nyamasheke,Unemployed,Secondary,740000,Yes,Yes,1996-11-21
STU003861,Female,Ngororero,Self-employed,Secondary,130000,Yes,Yes,2001-12-30
STU009178,Male,Kayonza,Unemployed,Secondary,970000,Yes,No,2002-09-01
STU012754,Male,Kayonza,Employed,Secondary,510000,Yes,Yes,2002-01-03
STU022839,Female,Rwamagana,Unemployed,Primary,,Yes,Yes,1991-05-15
STU014647,Female,Kamonyi,Employed,,950000,Yes,Yes,1996-05-20
STU039643,Male,Gasabo,Student,Primary,410000,Yes,Yes,1991-08-03
STU028057,Male,Rutsiro,Unemployed,Secondary,260000,No,Yes,2005-04-16
STU030717,Female,Kicukiro,Student,Secondary,750000,Yes,Yes,2005-06-15
STU035894,Female,Rusizi,Unemployed,Primary,730000,Yes,Yes,2001-03-26
STU001967,Female,Rutsiro,Unemployed,Primary,380000,Yes,No,1996-03-05
STU025314,Male,Gakenke,Student,Primary,860000,No,No,2001-09-15
STU008259,Male,Ngororero,Student,Secondary,120000,Yes,Yes,1996-06-01
STU004523,Male,Nyabihu,Self-employed,Primary,240000,Yes,Yes,2006-12-23
STU005085,Female,Nyabihu,Employed,University,710000,Yes,Yes,2006-08-25
STU003223,Male,Ngororero,Unemployed,Secondary,970000,No,Yes,1996-12-16
STU048343,Female,Kayonza,Student,University,700000,Yes,Yes,2000-11-21
STU004462,Female,Nyaruguru,Unemployed,Primary,840000,Yes,No,2003-07-17
STU021711,Female,Ngororero,Self-employed,None,680000,Yes,Yes,1999-11-22
STU019154,Male,Kicukiro,Unemployed,Secondary,250000,No,Yes,2003-08-04
STU020755,Female,Rutsiro,Unemployed,University,460000,Yes,Yes,2000-09-07
STU002814,Female,Gakenke,Unemployed,Secondary,710000,Yes,No,2000-02-22
STU041457,Male,Bugesera,Self-employed,Secondary,40000,Yes,Yes,2004-04-12
STU004640,Female,Nyaruguru,Unemployed,Primary,430000,Yes,Yes,2000-03-11
STU020498,Female,Rutsiro,Student,,940000,No,Yes,1996-09-11
STU018303,Male,Rubavu,Unemployed,Primary,700000,Yes,No,1999-02-03
STU023027,Male,Burera,Unemployed,Primary,790000,No,Yes,1997-03-27
STU041652,Female,Kicukiro,Self-employed,Primary,310000,Yes,Yes,2005-09-17
STU025341,Male,Bugesera,Employed,Primary,740000,No,Yes,1996-07-21
STU028778,Female,Bugesera,Student,University,900000,No,Yes,1996-03-17
STU043156,Male,Nyaruguru,Employed,None,570000,Yes,No,1990-10-30
STU017702,Male,Nyaruguru,Unemployed,Primary,830000,No,No,2003-12-30
STU027817,Female,Musanze,Student,Secondary,620000,Yes,Yes,2004-07-18
STU030116,Female,Nyanza,Employed,Primary,800000,Yes,Yes,2003-02-04
STU025020,Male,Nyarugenge,Unemployed,Secondary,580000,Yes,Yes,2002-04-10
STU018573,Male,Nyabihu,Employed,Primary,550000,Yes,Yes,1992-10-04
STU037974,Male,Rusizi,Self-employed,Primary,420000,Yes,Yes,1992-10-19
STU008085,Female,Huye,Unemployed,University,,Yes,Yes,1995-01-30
STU033522,Male,Nyaruguru,Student,Secondary,750000,Yes,Yes,2000-12-15
STU036680,Female,Muhanga,Self-employed,Secondary,740000,Yes,No,1993-02-28
STU008996,Male,Nyagatare,Unemployed,Secondary,,No,Yes,1990-11-03
STU039432,Female,Kayonza,Employed,University,740000,Yes,No,1994-10-30
STU048978,Female,Musanze,Self-employed,Primary,540000,Yes,No,2002-02-27
STU021639,Male,Nyagatare,Student,University,10000,Yes,Yes,1996-01-27
STU027980,Female,Gisagara,Employed,Primary,530000,Yes,Yes,2005-08-12
STU000534,Female,Kicukiro,Student,University,800000,Yes,Yes,2002-09-22
STU018236,Male,Ngororero,Student,Primary,800000,No,Yes,1993-08-14
STU012634,Male,Nyamasheke,Unemployed,Secondary,750000,Yes,Yes,2001-01-15
STU032218,Female,Rwamagana,Self-employed,Primary,690000,Yes,Yes,1998-06-04
STU007115,Female,Rusizi,Employed,None,920000,Yes,No,2006-02-25
STU045275,Female,Ngororero,Employed,Secondary,230000,Yes,Yes,2007-06-25
STU024411,Male,Ngororero,Student,,30000,Yes,No,2000-03-31
STU010507,Male,Nyabihu,Self-employed,Primary,140000,No,Yes,2005-11-12
STU019204,Male,Kayonza,Self-employed,Primary,750000,Yes,Yes,2003-10-30
STU011689,Male,Nyanza,Student,Secondary,910000,No,Yes,2001-04-22
STU010607,Male,Nyarugenge,Employed,Secondary,1000000,Yes,No,1996-07-16
STU035496,Female,Nyamasheke,Student,Secondary,50000,Yes,Yes,1998-05-22
STU010888,Male,Huye,Unemployed,Secondary,360000,No,Yes,1999-11-11
STU003908,Male,Rulindo,Student,Secondary,630000,Yes,No,1994-09-11
STU025351,Male,Gasabo,Employed,University,10000,Yes,Yes,2005-03-17
STU047713,Female,Burera,Self-employed,Secondary,340000,Yes,No,1995-05-25
STU005635,Male,Karongi,Employed,Primary,700000,Yes,Yes,2006-12-06
STU014364,Male,Rulindo,Student,Primary,110000,Yes,Yes,2000-04-10
STU045681,Male,Burera,Unemployed,Secondary,640000,Yes,Yes,1997-12-30
STU027728,Male,Karongi,Self-employed,Secondary,20000,Yes,Yes,2005-06-06
STU039748,Female,Gasabo,Self-employed,Secondary,50000,No,Yes,1997-01-14
STU038756,Female,Huye,Student,Primary,710000,Yes,Yes,2000-01-02
STU007106,Female,Ngoma,Employed,Primary,180000,Yes,Yes,1993-03-23
STU015614,Male,Gisagara,Employed,,300000,No,No,1995-04-13
STU001646,Female,Nyanza,Student,Secondary,230000,Yes,Yes,1991-11-28
STU011815,Female,Gakenke,Self-employed,University,210000,Yes,Yes,1998-11-16
STU035562,Male,Nyaruguru,Employed,Primary,150000,Yes,Yes,2001-08-18
STU037130,Male,Nyanza,Unemployed,Primary,540000,Yes,Yes,2002-08-24
STU000275,Male,Nyabihu,Employed,Primary,990000,Yes,Yes,2005-04-16
STU030899,Female,Nyarugenge,Student,University,640000,Yes,Yes,2001-02-08
STU043680,Male,Gakenke,Employed,,90000,Yes,No,2005-07-29
STU044053,Female,Nyaruguru,Unemployed,Primary,470000,Yes,Yes,2001-08-10
STU007721,Male,Karongi,Unemployed,Primary,300000,No,Yes,2002-01-25
STU005125,Female,Muhanga,Unemployed,Secondary,410000,No,Yes,2003-07-20
STU000965,Male,Rusizi,Student,Primary,830000,Yes,Yes,1996-07-07
STU012268,Female,Muhanga,Self-employed,University,160000,No,Yes,1994-10-14
STU018367,Female,Rubavu,Self-employed,Secondary,250000,Yes,Yes,1996-02-27
STU021219,Female,Kamonyi,Student,Primary,560000,Yes,Yes,1998-07-13
STU033343,Female,Gicumbi,Student,Secondary,200000,Yes,Yes,1994-11-06
STU047505,Male,Rusizi,Employed,Secondary,190000,Yes,Yes,2005-04-17
STU006745,Female,Kicukiro,Self-employed,,990000,No,Yes,1997-12-11
STU044227,Female,Kicukiro,Self-employed,Primary,,Yes,Yes,1993-09-20
STU045212,Female,Kamonyi,Student,University,580000,Yes,Yes,2000-11-06
STU032512,Female,Gicumbi,Unemployed,,490000,Yes,Yes,1997-07-04
STU016831,Female,Ngororero,Self-employed,Primary,840000,Yes,Yes,1995-10-26
STU042219,Male,Rusizi,Student,University,260000,Yes,Yes,1998-09-03
STU032113,Female,Karongi,Employed,Secondary,800000,No,Yes,1996-02-29
STU047659,Male,Huye,Self-employed,Secondary,410000,Yes,No,2002-10-12
STU002519,Female,Ngoma,Student,Secondary,940000,No,Yes,2003-07-25
STU003648,Female,Ngororero,Employed,Primary,220000,Yes,Yes,1995-10-06
STU007651,Female,Rubavu,Self-employed,Secondary,560000,Yes,Yes,1997-09-13
STU035410,Male,Gakenke,Unemployed,University,100000,Yes,No,2006-02-12
STU046394,Male,Gisagara,Employed,Secondary,780000,Yes,Yes,1998-08-31
STU017472,Female,Musanze,Employed,Secondary,960000,Yes,Yes,1998-05-22
STU036015,Female,Kicukiro,Self-employed,University,790000,Yes,No,1995-04-06
STU009517,Female,Nyagatare,Self-employed,Secondary,640000,Yes,No,2004-10-03
STU004288,Male,Gasabo,Employed,Primary,690000,Yes,Yes,1996-11-20
STU001923,Male,Nyamasheke,Employed,Secondary,580000,Yes,Yes,1990-11-19
STU031590,Male,Nyabihu,Employed,University,260000,No,Yes,1997-04-08
STU034399,Male,Rwamagana,Unemployed,Primary,410000,Yes,Yes,2001-10-14
STU039953,Male,Ngororero,Self-employed,Secondary,780000,Yes,Yes,2000-10-24
STU014682,Female,Nyamasheke,Unemployed,Secondary,70000,No,Yes,1991-10-31
STU042707,Male,Rusizi,Student,Secondary,880000,No,No,1997-02-20
STU044564,Male,Rubavu,Unemployed,,430000,Yes,Yes,2000-10-19
STU039047,Female,Gisagara,Employed,None,920000,Yes,No,1998-09-29
STU003269,Female,Nyarugenge,Self-employed,Secondary,300000,No,Yes,2001-12-16
STU003130,Female,Rwamagana,Student,Primary,440000,Yes,No,1991-08-22
STU013551,Female,Gisagara,Self-employed,,380000,Yes,Yes,1996-05-20
STU044076,Male,Huye,Self-employed,University,,Yes,Yes,1995-06-06
STU005652,Female,Nyamasheke,Self-employed,Primary,720000,No,Yes,2000-02-01
STU041724,Male,Huye,Employed,Primary,840000,Yes,Yes,2005-06-20
STU001805,Female,Rubavu,Student,Primary,920000,No,Yes,1994-11-18
STU039236,Male,Muhanga,Self-employed,University,470000,No,No,2005-12-17
STU022563,Female,Rubavu,Self-employed,University,270000,No,Yes,1998-07-06
STU035885,Male,Gicumbi,Student,University,730000,Yes,Yes,2007-04-06
STU003322,Female,Nyarugenge,Unemployed,Primary,50000,Yes,Yes,2005-08-28
STU012217,Male,Rutsiro,Student,Secondary,720000,Yes,Yes,1992-12-21
STU028209,Female,Ngoma,Unemployed,Primary,360000,No,No,2002-08-17
STU036240,Male,Nyarugenge,Student,Secondary,610000,No,No,1994-12-19
STU039376,Male,Nyarugenge,Unemployed,Primary,80000,Yes,Yes,2004-01-21
STU034676,Male,Nyaruguru,Self-employed,Secondary,540000,Yes,Yes,1998-03-30
STU039554,Female,Gakenke,Self-employed,Secondary,820000,No,Yes,1994-02-08
STU047557,Male,Rwamagana,Self-employed,Secondary,750000,No,Yes,2006-05-09
STU028377,Male,Ngororero,Unemployed,Secondary,,Yes,Yes,2005-01-18
STU011149,Male,Musanze,Unemployed,Secondary,20000,No,Yes,1992-10-27
STU041805,Female,Karongi,Unemployed,Primary,980000,Yes,Yes,1993-03-12
STU010428,Female,Gisagara,Unemployed,Primary,970000,Yes,Yes,2000-05-23
STU027129,Female,Burera,Student,Secondary,290000,Yes,Yes,1998-07-26
STU010681,Male,Muhanga,Employed,Secondary,760000,No,Yes,1992-10-12
STU039636,Female,Kayonza,Self-employed,Secondary,100000,Yes,Yes,2005-06-04
STU019853,Female,Ngororero,Student,Primary,70000,Yes,Yes,2004-04-18
STU023826,Female,Gicumbi,Self-employed,None,660000,Yes,Yes,2001-06-21
STU040586,Female,Gakenke,Student,None,230000,No,Yes,2006-02-03
STU030663,Female,Gicumbi,Student,Primary,770000,Yes,Yes,1995-06-22
STU014500,Female,Rwamagana,Student,Primary,610000,Yes,No,1997-02-16
STU018661,Male,Ngoma,Student,,310000,No,Yes,1993-05-24
STU019612,Female,Kicukiro,Student,Secondary,120000,No,No,1996-07-06
STU023949,Female,Kamonyi,Student,Primary,590000,No,Yes,1993-06-28
STU035612,Female,Nyamasheke,Employed,Primary,240000,Yes,No,2003-11-07
STU007474,Female,Nyamasheke,Student,Primary,570000,Yes,Yes,2007-05-08
STU043477,Male,Gisagara,Self-employed,Secondary,730000,Yes,Yes,1998-09-14
STU026981,Female,Ngoma,Self-employed,University,90000,Yes,No,1997-05-27
STU001306,Female,Nyamasheke,Employed,University,950000,Yes,No,1994-04-25
STU025840,Female,Gasabo,Student,University,810000,Yes,Yes,2001-08-30
STU026443,Female,Huye,Student,Primary,20000,Yes,Yes,1996-02-09
STU005767,Male,Burera,Student,Secondary,830000,No,Yes,2006-02-22
STU027480,Female,Bugesera,Unemployed,None,330000,No,Yes,1994-07-15
STU008559,Female,Gasabo,Unemployed,Primary,890000,Yes,Yes,2001-02-23
STU008695,Female,Kamonyi,Self-employed,Secondary,590000,Yes,Yes,2002-11-09
STU015986,Female,Bugesera,Self-employed,,10000,Yes,No,2005-06-01
STU040457,Male,Kayonza,Student,Secondary,410000,No,Yes,2000-03-30
STU034888,Male,Nyamasheke,Employed,University,70000,Yes,Yes,2003-11-26
STU024284,Female,Nyabihu,Employed,Secondary,280000,No,No,1994-12-28
STU014560,Female,Muhanga,Student,Secondary,450000,Yes,Yes,2002-11-18
STU010912,Female,Karongi,Unemployed,Primary,870000,Yes,Yes,2001-10-03
STU024282,Male,Kicukiro,Employed,Primary,220000,Yes,Yes,2007-05-09
STU017960,Female,Huye,Self-employed,University,400000,Yes,Yes,2006-01-31
STU043327,Female,Rulindo,Employed,None,350000,Yes,Yes,1995-08-19
STU020153,Male,Rubavu,Employed,None,590000,No,No,1992-12-12
STU024332,Female,Nyagatare,Unemployed,Secondary,660000,No,Yes,2007-03-08
